@relation Facebook-metrics-weka.filters.unsupervised.attribute.Remove-R9-20

@attribute 'Page total likes' numeric
@attribute Type {Photo,Status,Link,Video}
@attribute Category numeric
@attribute 'Post Month' numeric
@attribute 'Post Weekday' numeric
@attribute 'Post Hour' numeric
@attribute Paid numeric
@attribute 'Lifetime Post Total Reach' numeric

@data
137893,Photo,1,11,6,3,0,3102
137893,Photo,1,11,5,10,1,39344
137893,Video,1,11,5,3,1,100768
137893,Status,3,11,4,11,0,9056
137893,Photo,1,11,4,2,1,11444
137893,Video,1,11,3,11,0,13544
137893,Photo,1,11,3,2,1,37376
137893,Photo,1,11,3,2,0,1228
137177,Photo,1,11,1,10,0,22984
137177,Photo,2,11,1,3,0,1445
137177,Photo,1,11,7,12,0,3754
137177,Status,2,11,7,3,0,8728
137177,Photo,3,11,6,10,0,5990
137177,Photo,1,11,6,3,0,4582
137177,Photo,3,11,5,10,1,2938
137177,Status,3,11,5,2,0,6692
137177,Photo,1,11,4,9,1,2566
137177,Link,1,11,4,3,0,21176
137177,Photo,3,11,3,10,0,4012
137177,Photo,1,11,3,3,0,1531
137059,Photo,1,11,2,11,1,2938
137059,Photo,1,11,2,3,0,24720
137059,Photo,2,11,1,9,0,2219
137059,Photo,3,11,1,3,0,4732
137059,Photo,3,11,7,9,0,2225
137059,Photo,2,11,7,4,0,2626
137059,Photo,3,10,6,10,0,3090
137059,Photo,1,10,6,3,0,1101
137059,Photo,2,10,5,11,0,2819
137020,Status,2,10,5,3,1,12468
137020,Photo,1,10,4,10,0,12776
137020,Photo,1,10,4,9,1,1357
137020,Photo,2,10,4,3,0,68896
137020,Photo,3,10,3,10,0,1711
137020,Photo,1,10,3,4,0,1388
137020,Photo,1,10,2,11,1,2645
137020,Photo,1,10,2,4,0,70144
137020,Photo,3,10,1,11,0,3674
136736,Status,2,10,1,4,0,9504
136736,Photo,3,10,7,9,0,2426
136736,Status,2,10,7,3,0,13872
136736,Photo,1,10,6,10,0,1673
136736,Photo,1,10,6,8,0,1261
136736,Photo,2,10,6,4,0,2428
136642,Photo,2,10,1,3,1,2227
136642,Photo,1,10,7,13,0,1592
136642,Photo,1,10,7,12,1,813
136642,Photo,1,10,7,12,0,32208
136642,Photo,1,10,7,11,0,729
136642,Photo,1,10,7,10,0,834
136393,Photo,1,10,7,10,0,786
136393,Photo,1,10,7,9,0,584
136393,Status,2,10,7,9,0,15816
136393,Photo,1,10,7,8,0,619
136393,Photo,1,10,7,7,0,617
136393,Photo,1,10,7,6,0,677
136393,Photo,1,10,7,5,0,677
136393,Photo,3,10,7,3,0,3366
136393,Photo,1,10,6,13,0,747
136393,Photo,1,10,6,13,0,645
136393,Photo,1,10,6,12,0,754
136393,Photo,1,10,6,11,0,910
136393,Photo,1,10,6,9,0,3906
136393,Photo,1,10,6,9,0,659
136393,Photo,1,10,6,8,0,652
136393,Photo,1,10,6,6,0,861
136393,Photo,1,10,6,2,0,3690
136393,Link,1,10,5,10,0,4664
136013,Photo,1,10,5,8,0,1080
136013,Status,2,10,5,3,0,8896
136013,Photo,1,10,4,10,1,4018
136013,Link,1,10,4,3,0,68992
136013,Status,3,10,3,10,0,13152
136013,Status,2,10,3,2,1,31136
136013,Photo,3,10,2,10,1,16776
136013,Photo,1,10,2,3,1,50736
136013,Photo,1,10,1,10,1,5324
136013,Photo,3,10,1,3,0,18120
135713,Photo,3,10,7,10,0,2291
135713,Status,2,10,7,4,0,10744
135713,Link,1,10,6,11,1,3616
135713,Photo,1,10,6,4,0,39984
135713,Photo,2,10,5,11,0,4010
135713,Photo,2,10,5,4,1,6564
135713,Photo,1,10,4,10,0,8612
135713,Photo,2,10,4,1,0,5568
135700,Photo,2,9,3,7,0,1685
135700,Photo,2,9,2,11,0,3756
135700,Photo,3,9,2,2,0,2656
135700,Photo,2,9,1,10,0,5086
135617,Photo,2,9,1,3,1,2055
135617,Photo,3,9,7,9,0,9384
135617,Photo,2,9,7,3,0,3992
135617,Photo,3,9,6,10,0,7512
135617,Status,2,9,6,4,0,11096
135428,Photo,1,9,5,10,0,1060
135428,Photo,2,9,5,3,1,2790
135428,Photo,1,9,4,10,1,13856
135428,Photo,3,9,4,2,1,10748
135428,Photo,1,9,3,10,0,41984
135428,Photo,2,9,3,2,1,2522
135195,Photo,3,9,2,9,0,4480
135195,Photo,1,9,2,2,0,1543
135195,Status,2,9,1,10,0,21256
135195,Photo,1,9,1,4,0,4484
135195,Photo,2,9,7,3,0,4398
135195,Status,2,9,6,10,1,13216
135195,Photo,3,9,6,3,1,22304
135195,Photo,1,9,5,11,0,6208
135195,Photo,2,9,5,2,0,4518
135195,Photo,2,9,4,10,0,3582
134879,Status,2,9,4,4,1,9124
134879,Photo,1,9,3,10,0,14152
134879,Photo,3,9,3,2,1,4260
134879,Video,1,9,2,10,0,30624
134879,Photo,2,9,2,3,0,2363
134879,Photo,1,9,1,10,0,2232
134879,Photo,2,9,1,6,0,4048
134879,Photo,2,9,7,10,0,1804
134879,Photo,3,9,7,4,1,2351
133679,Photo,2,9,2,10,0,3100
133679,Photo,3,9,2,3,1,2360
133679,Photo,3,8,1,10,0,19648
133679,Photo,2,8,1,4,0,2295
133594,Photo,2,8,7,10,1,3934
133594,Photo,1,8,7,3,0,34512
133594,Photo,2,8,6,10,0,5282
133594,Photo,1,8,6,8,0,1809
133594,Photo,2,8,5,13,0,1920
133451,Photo,1,8,4,9,1,1954
132817,Photo,3,8,4,10,0,33536
132817,Photo,2,8,4,3,1,4204
132817,Photo,1,8,3,9,0,3376
132817,Status,2,8,3,2,1,9236
132817,Photo,3,8,2,10,0,72864
132817,Photo,3,8,2,3,0,3358
132201,Photo,1,8,1,12,1,3254
132201,Photo,1,8,1,3,0,50640
132201,Photo,2,8,7,10,0,3734
132201,Photo,3,8,7,3,0,2594
132201,Photo,2,8,6,10,1,2232
132201,Photo,3,8,6,3,1,22120
132201,Photo,3,8,5,10,0,7980
132201,Photo,2,8,5,1,0,1659
132201,Photo,3,8,4,11,1,1006
132201,Photo,3,8,4,3,1,12728
131956,Photo,1,8,3,10,0,28880
131956,Photo,2,8,3,4,0,1330
131956,Status,2,8,2,12,0,14424
131956,Photo,1,8,2,7,0,14200
131956,Photo,3,8,1,12,0,5746
131956,Photo,2,8,1,4,0,2540
131956,Photo,3,8,7,10,0,4324
131808,Status,2,8,7,4,0,8260
131808,Status,2,8,6,10,1,20168
131808,Photo,1,8,6,6,0,5046
131808,Status,2,7,5,14,0,15296
131728,Photo,3,7,5,8,1,3414
131728,Photo,1,7,4,10,1,95424
131728,Photo,2,7,4,3,0,14824
131630,Photo,2,7,3,13,0,3504
131630,Photo,3,7,2,23,0,2822
131630,Photo,3,7,2,13,0,2973
131630,Status,2,7,2,6,1,10824
131630,Photo,1,7,1,11,0,4592
131630,Photo,2,7,1,5,0,3176
131300,Status,2,7,7,10,0,10956
131300,Photo,3,7,7,4,0,10888
131300,Photo,2,7,6,10,0,3594
131300,Photo,1,7,6,2,0,3384
130791,Photo,2,7,5,11,1,4096
130791,Photo,3,7,5,3,0,19968
130791,Photo,1,7,4,11,0,4892
130791,Status,2,7,4,6,0,17360
130791,Video,1,7,3,11,1,21872
130791,Photo,2,7,3,5,1,180480
130791,Photo,1,7,2,13,0,44464
130791,Photo,2,7,2,8,0,2881
129600,Photo,2,7,1,12,0,3460
129600,Photo,3,7,1,6,0,3406
129600,Photo,2,7,7,11,1,2602
129600,Photo,1,7,7,6,1,5848
129600,Photo,1,7,6,11,0,26944
129600,Photo,3,7,6,5,0,5292
129600,Status,2,7,5,12,1,15576
129600,Photo,3,7,5,3,0,54256
129600,Photo,2,7,4,12,1,3726
129600,Photo,1,7,4,6,1,31904
129600,Photo,1,7,3,13,1,40336
129600,Photo,2,7,3,1,0,4220
129600,Photo,3,7,2,13,0,4666
129600,Photo,2,7,2,7,1,4274
129600,Photo,1,7,1,13,0,28208
128032,Photo,2,7,1,3,0,3330
128032,Photo,2,7,7,11,1,3528
128032,Photo,3,7,7,3,0,38576
128032,Photo,3,7,6,13,1,2628
128032,Photo,1,7,6,3,0,7232
128032,Status,2,7,5,10,0,10188
128032,Photo,1,7,5,3,0,6408
128032,Photo,1,7,4,9,1,3414
128032,Photo,2,7,4,5,1,53056
128032,Photo,1,7,3,10,1,66976
127082,Photo,1,7,3,3,1,76096
126424,Photo,3,7,4,12,0,5458
126424,Photo,2,7,4,3,0,3706
126424,Status,2,7,3,13,0,18320
126424,Photo,3,7,3,4,1,2316
126424,Video,1,6,2,13,0,139008
126345,Photo,1,6,2,9,1,5854
126345,Photo,1,6,2,3,0,109056
126345,Photo,2,6,1,12,0,3212
126345,Photo,2,6,1,4,0,3046
126345,Status,2,6,7,11,0,12044
126141,Photo,1,6,7,4,1,9652
126141,Photo,1,6,6,12,0,28112
126141,Status,2,6,6,4,0,8628
126141,Photo,1,6,5,11,1,2431
126141,Photo,1,6,4,22,1,20560
126141,Photo,1,6,4,12,0,20896
125612,Photo,1,6,4,11,0,2402
125612,Photo,1,6,4,7,0,1729
125612,Photo,2,6,4,3,0,4320
125612,Photo,1,6,3,11,0,2585
125612,Photo,2,6,3,3,0,3322
125612,Photo,1,6,2,13,0,3600
125612,Photo,1,6,2,2,0,11620
125612,Photo,3,6,1,14,0,4248
125612,Photo,3,6,1,3,0,2763
125612,Photo,2,6,7,11,0,3558
124940,Photo,1,6,7,4,0,8324
124940,Photo,2,6,6,9,0,6952
124940,Photo,3,6,6,2,1,2823
124940,Photo,1,6,5,13,1,63840
124940,Photo,3,6,5,3,1,11608
124940,Photo,1,6,4,12,0,58304
124940,Photo,3,6,4,2,0,4762
124940,Photo,2,6,3,13,0,6150
124940,Photo,3,6,3,3,1,4644
124940,Photo,3,6,2,13,0,22464
124940,Photo,3,6,2,3,0,3754
124940,Photo,1,6,1,13,0,4452
124940,Photo,3,6,1,3,0,3576
124940,Photo,3,6,7,10,0,3028
124940,Photo,3,6,7,3,1,4022
124940,Photo,1,6,6,12,1,52736
124940,Photo,3,6,6,4,0,47376
123047,Photo,3,6,5,12,0,3234
123047,Photo,2,6,5,3,0,3322
123047,Photo,3,6,4,13,0,6768
123047,Photo,2,6,4,5,1,11304
123047,Photo,1,6,3,11,0,13544
123047,Photo,3,6,2,13,0,3418
123047,Photo,3,6,2,5,1,3662
123047,Photo,3,6,1,10,0,56672
123047,Photo,3,6,1,3,1,3294
121540,Photo,3,6,1,3,0,3110
121540,Photo,2,5,7,14,0,3806
120050,Photo,3,5,5,9,1,3776
120050,Photo,3,5,4,12,0,39040
120050,Photo,3,5,4,4,1,4032
120050,Photo,3,5,3,12,0,21248
119198,Photo,3,5,3,5,0,4344
119198,Photo,3,5,2,12,0,2718
119198,Photo,3,5,2,1,0,3024
119198,Status,2,5,1,2,0,10152
119198,Photo,2,5,7,2,0,4708
119198,Photo,3,5,6,14,0,2772
119198,Photo,3,5,6,6,0,2812
119198,Photo,3,5,5,10,1,6460
117764,Photo,1,5,4,10,0,18056
117764,Photo,3,5,4,4,0,5016
117764,Photo,3,5,3,11,0,3528
117764,Photo,2,5,2,11,0,6444
117764,Photo,3,5,1,13,1,4458
117764,Link,1,5,1,2,0,12540
117764,Photo,3,5,7,13,1,4362
117764,Photo,3,5,7,2,0,38960
117764,Photo,3,5,6,13,0,3144
117764,Photo,3,5,6,8,1,4336
117764,Photo,3,5,5,13,0,81856
116435,Photo,2,5,5,9,0,5728
116435,Photo,3,5,4,13,1,5490
116435,Status,1,5,4,3,1,23832
116435,Photo,3,5,3,7,0,18552
116435,Photo,2,5,2,14,0,4132
116435,Photo,1,5,2,8,0,4910
116435,Photo,3,5,1,13,0,4202
116091,Photo,2,5,1,3,0,5976
116091,Photo,2,5,7,14,0,5206
116091,Photo,3,5,7,2,0,6984
116091,Photo,1,5,6,9,0,6000
116091,Photo,3,5,6,3,0,3332
116091,Status,2,5,5,7,0,9232
115893,Photo,3,4,4,15,1,5212
115893,Photo,1,4,3,13,0,24264
115368,Photo,3,4,3,8,0,4280
115368,Photo,3,4,2,13,0,6692
115368,Photo,3,4,2,2,1,5594
115368,Photo,1,4,1,2,0,11336
113028,Photo,2,4,7,3,1,5582
113028,Photo,1,4,6,14,0,28352
113028,Status,2,4,6,3,1,17912
113028,Link,1,4,5,7,1,35360
113028,Photo,1,4,5,5,0,9084
113028,Photo,1,4,4,12,1,6880
111620,Photo,3,4,4,7,1,12824
111620,Photo,3,4,3,7,0,6596
111620,Photo,3,4,2,13,1,7492
111620,Photo,1,4,2,6,1,44288
111620,Photo,3,4,1,14,1,105632
111620,Photo,1,4,7,14,0,128064
109670,Photo,3,4,6,20,0,5994
109670,Photo,1,4,6,13,0,6172
109670,Photo,3,4,6,3,0,4986
109670,Photo,1,4,5,13,0,6668
109670,Photo,3,4,5,7,1,5298
109670,Photo,1,4,4,3,0,35008
109670,Photo,1,4,3,13,1,5402
109670,Photo,1,4,3,8,0,9880
109670,Photo,1,4,2,13,0,3334
109670,Photo,3,4,2,2,1,3130
109670,Photo,2,4,1,13,1,32208
109670,Photo,1,4,1,2,0,20920
109670,Photo,3,4,7,14,0,3884
107907,Photo,3,4,7,13,0,4240
107907,Photo,1,4,6,9,0,3544
107907,Photo,3,4,6,3,1,3286
107907,Photo,1,4,5,9,0,71360
107907,Photo,3,4,5,3,0,3824
107907,Photo,3,4,4,13,0,6360
107907,Photo,3,4,4,5,1,3714
107907,Photo,1,4,3,13,1,46192
107907,Photo,1,4,3,4,1,39568
107907,Link,1,4,2,6,0,70912
107907,Photo,3,4,1,3,0,4552
107907,Photo,3,4,7,10,0,4390
107907,Photo,3,4,7,3,0,4770
106928,Photo,3,4,6,9,1,2970
106928,Link,1,4,6,4,0,34192
106928,Photo,2,4,5,13,0,5302
106928,Photo,2,4,5,3,0,5560
106928,Photo,3,4,4,13,0,4406
106928,Photo,1,4,4,3,1,5290
104070,Photo,1,3,5,14,1,3696
104070,Photo,1,3,4,14,1,6030
104070,Photo,1,3,4,7,0,49632
104070,Status,1,3,3,15,0,9120
104070,Photo,1,3,3,10,0,1874
102112,Photo,1,3,3,10,0,4122
102112,Photo,1,3,3,4,0,5080
102112,Photo,1,3,2,12,0,4068
102112,Photo,1,3,2,3,0,3272
102112,Photo,1,3,1,19,0,238
102112,Photo,1,3,1,18,0,3358
102112,Photo,1,3,1,18,0,6400
102112,Link,3,3,1,3,0,6876
100732,Photo,1,3,7,18,0,391
100732,Photo,1,3,7,17,0,10844
100732,Photo,1,3,7,15,0,5132
100732,Photo,1,3,7,15,0,3772
100732,Link,1,3,7,14,0,2933
100732,Photo,1,3,7,12,0,4094
100732,Photo,1,3,6,17,0,452
100732,Photo,1,3,6,17,0,11420
100732,Photo,1,3,6,15,0,5704
100732,Photo,1,3,6,15,0,7192
100732,Photo,1,3,6,13,1,9604
100732,Photo,1,3,6,10,0,122944
98195,Link,2,3,6,6,0,5730
98195,Photo,1,3,6,3,0,4898
98195,Photo,1,3,5,10,0,4118
98195,Photo,1,3,5,4,1,1845
98195,Photo,3,3,4,13,0,34480
96749,Photo,3,3,2,9,0,5338
96749,Photo,2,3,2,5,0,5312
96749,Photo,1,3,1,13,1,4412
96749,Photo,1,3,1,2,1,98816
96749,Photo,1,3,7,10,1,7220
96749,Photo,1,3,7,5,1,14320
93684,Photo,1,2,6,13,1,27056
93577,Photo,1,2,6,6,0,20528
93470,Photo,1,2,5,12,0,6416
93363,Photo,1,2,5,6,0,5786
93256,Photo,3,2,4,12,0,5878
93149,Photo,3,2,4,3,0,9528
93042,Photo,3,2,3,13,0,8500
92935,Photo,1,2,3,9,1,3796
92828,Photo,1,2,3,6,0,28128
92721,Photo,3,2,2,13,0,7228
92614,Photo,2,2,2,3,1,5290
92507,Photo,3,2,1,13,0,55520
92400,Photo,1,2,1,4,0,5880
92293,Photo,3,2,7,13,1,10040
92186,Photo,3,2,7,2,1,153536
92079,Photo,1,2,6,13,0,158208
91972,Photo,3,2,6,3,0,6484
91865,Photo,2,2,5,13,1,4840
91758,Photo,2,2,5,3,1,15880
91651,Photo,1,2,4,12,0,15288
91544,Photo,3,2,4,3,0,9528
91437,Link,1,2,3,13,0,9356
91330,Photo,3,2,3,3,0,7732
91223,Photo,1,2,2,13,0,5240
91116,Photo,3,2,2,4,1,7132
91009,Photo,1,2,1,12,0,21928
86909,Photo,3,1,6,16,1,5754
86909,Photo,1,1,6,10,1,37088
86909,Link,1,1,6,4,0,39600
86909,Photo,3,1,5,13,0,5536
86909,Photo,3,1,5,4,0,6056
86909,Photo,2,1,4,11,0,11484
86491,Link,1,1,4,4,1,4938
86491,Photo,3,1,3,10,0,66784
86491,Photo,2,1,3,3,0,5526
86491,Photo,3,1,2,7,0,5040
86491,Link,1,1,2,2,0,5168
85979,Photo,3,1,1,12,0,5034
85979,Photo,3,1,1,2,0,4908
85979,Photo,3,1,7,10,0,9700
85979,Photo,3,1,7,2,0,4800
85979,Photo,3,1,6,11,0,5280
85979,Photo,3,1,6,3,1,6184
85979,Link,1,1,5,11,0,45920
85093,Photo,3,1,1,2,0,8412
85093,Photo,3,1,7,10,0,5400
85093,Photo,3,1,7,2,0,4684
81370,Photo,2,1,5,8,0,3480
81370,Photo,1,1,5,2,0,3778
81370,Photo,3,1,4,11,0,4156
81370,Photo,2,1,4,4,?,4188
